# EPyR Tools Export - Slice 1 of Rabi2D_GdCaWO4_13dB_3057G
# Original file: Rabi2D_GdCaWO4_13dB_3057G.DSC
# Data type: 2D Complex
# Full shape: (500, 1024)
# Slice index: 0
# Frequency: 9621228000.0
#
Field_G,Intensity
856.0,213204.68847799758
858.0,212183.75908631648
860.0,209308.94422599336
862.0,206664.57040334705
864.0,205285.69255795688
866.0,206100.14663992845
868.0,206434.49112248662
870.0,207012.98342374567
872.0,208325.71188645918
874.0,210485.13731852898
876.0,211686.43403865065
878.0,212405.0944210143
880.0,209389.7569653301
882.0,208462.9481442686
884.0,207456.1726148441
886.0,209235.7667250033
888.0,210365.94596084225
890.0,211360.6534102315
892.0,213012.72169051314
894.0,213655.09581800288
896.0,213189.59674665178
898.0,212255.78461139757
900.0,208477.32888733968
902.0,206738.2615434308
904.0,204702.84821907093
906.0,204895.3569142063
908.0,206418.4175527949
910.0,207664.50345208257
912.0,208550.09194435758
914.0,209362.66232783723
916.0,212589.3172292531
918.0,212760.4492005034
920.0,210856.32501777128
922.0,208512.49440980752
924.0,207908.85996032011
926.0,209994.77548977258
928.0,211739.3875900278
930.0,212317.02674302875
932.0,212922.12895798314
934.0,213797.45639506567
936.0,213845.4763631908
938.0,211828.77712907657
940.0,209570.24875205927
942.0,206194.94501320831
944.0,204699.2392877902
946.0,205711.02578617414
948.0,206242.52312265773
950.0,207732.27906129562
952.0,208639.89560244704
954.0,209917.19911669934
956.0,211847.6271686799
958.0,212916.46951093283
960.0,210060.6143616647
962.0,208498.05945619737
964.0,207630.2416147513
966.0,210030.51996317107
968.0,210951.29905501887
970.0,211938.24355693808
972.0,213918.82782962325
974.0,214042.19097411612
976.0,213558.78012856323
978.0,211920.46582149633
980.0,208423.84125862378
982.0,206453.8253096803
984.0,204689.6318942413
986.0,205223.52071826466
988.0,206023.52065965676
990.0,206601.40151751146
992.0,207541.97113114252
994.0,209522.24776381147
996.0,211850.2124922229
998.0,211553.14000269532
1000.0,209869.13019784496
1002.0,208348.382525519
1004.0,207313.227983648
1006.0,209487.5806342705
1008.0,211301.64244037482
1010.0,211702.3850149072
1012.0,212654.2044258707
1014.0,213973.73730904452
1016.0,213616.45481797511
1018.0,211962.6981522928
1020.0,209277.2219449599
1022.0,206767.8835070863
1024.0,204740.3068963217
1026.0,205322.64524401588
1028.0,206082.56264177227
1030.0,207902.28533856958
1032.0,207858.22116048235
1034.0,209508.30481152772
1036.0,211647.54644691726
1038.0,211989.92377233403
1040.0,210357.49092675548
1042.0,208802.25512671075
1044.0,207141.76722718187
1046.0,208901.7277788769
1048.0,210855.92533528674
1050.0,210898.98663815338
1052.0,213343.1511251299
1054.0,214097.92526785497
1056.0,213097.8499868077
1058.0,211183.49705646985
1060.0,208882.35924797482
1062.0,206811.16849193614
1064.0,204801.23878775732
1066.0,205958.08195844124
1068.0,206655.51063787288
1070.0,206744.24023174142
1072.0,208463.83554468144
1074.0,209451.19852127845
1076.0,212077.04167353903
1078.0,211994.2488111411
1080.0,210467.97746925778
1082.0,208735.67116810678
1084.0,207389.31672581402
1086.0,209355.56554818407
1088.0,211150.01870944744
1090.0,211877.96663409812
1092.0,213037.80110816014
1094.0,214005.59322830796
1096.0,213414.42150192196
1098.0,210716.86478542717
1100.0,209113.803822225
1102.0,206259.50949471397
1104.0,204628.39013685271
1106.0,205074.67801266932
1108.0,206304.74200318326
1110.0,206922.05292814973
1112.0,207544.37111374523
1114.0,209276.52818698998
1116.0,211549.09210157345
1118.0,211680.4716666136
1120.0,209907.66171104854
1122.0,207998.9960192116
1124.0,207087.33903597295
1126.0,209326.149357886
1128.0,210885.56722782145
1130.0,210801.17120168
1132.0,213038.39790047237
1134.0,213497.75692498503
1136.0,213326.35856358678
1138.0,211953.50988601253
1140.0,208238.0256461341
1142.0,206424.26191220834
1144.0,204871.3075982091
1146.0,206178.7498870822
1148.0,206049.11885276285
1150.0,206207.80336834976
1152.0,208175.4712207949
1154.0,208924.4658339468
1156.0,210778.89337407576
1158.0,211362.58647641496
1160.0,210310.16070794108
1162.0,208392.03165188443
1164.0,207637.36182103644
1166.0,208922.1326834474
1168.0,209899.9266317166
1170.0,211491.34708777096
1172.0,211624.8413064969
1174.0,214114.14223493042
1176.0,213041.4443858284
1178.0,212009.81151352407
1180.0,209124.07043188502
1182.0,205720.71478827795
1184.0,204340.66300420972
1186.0,204860.50616212
1188.0,205727.79795156512
1190.0,206381.40502719715
1192.0,207887.38428293332
1194.0,208836.90527538472
1196.0,212012.9677401833
1198.0,211305.60502267798
1200.0,210698.0978414376
1202.0,208155.88454088924
1204.0,207518.37089279588
1206.0,209223.15260266967
1208.0,210394.77465469527
1210.0,211828.037391182
1212.0,212529.59860922903
1214.0,213361.66339106002
1216.0,213373.6022215494
1218.0,211373.7139972707
1220.0,208974.21965639683
1222.0,206446.57900774232
1224.0,205142.54510461743
1226.0,204682.268154816
1228.0,206330.7939038669
1230.0,206153.77461739574
1232.0,207902.68591098097
1234.0,209023.58638440783
1236.0,211498.25486750476
1238.0,211696.8451016689
1240.0,209651.0132315129
1242.0,208281.23259189725
1244.0,207497.24741306808
1246.0,208498.29824005757
1248.0,210304.89707089562
1250.0,211288.11338312435
1252.0,212699.19248553814
1254.0,213040.67151602765
1256.0,212852.5278332395
1258.0,211041.1320335446
1260.0,208065.3293607563
1262.0,206057.83095286626
1264.0,204576.88620662893
